Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,x,,,x,,x,,,Fair-Trade-Gastronomie,http://www.opendata-hro.de/dataset/ac2459b3-67ee-4e49-8764-6f518b0c33ec,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,,,,,x,,x,,,Supermärkte,http://www.opendata-hro.de/dataset/95a9259a-ef62-4223-9be3-36eb80cf276a,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,x,,,,,,,Parkmöglichkeiten,http://www.opendata-hro.de/dataset/220781e3-2e11-4e06-955c-6bf5307973ff,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,x,,,,,,,,,,x,,,,Gemeindefläche,http://www.opendata-hro.de/dataset/fb8903bb-df12-45a7-a7de-5d0f17e2fca2,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,x,,,,,,,x,,x,,,Hörgeräteakustiker,http://www.opendata-hro.de/dataset/32cc18e5-80ea-45a0-8c28-c30d04b50f02,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,,x,,,,,,Glascontainer,http://www.opendata-hro.de/dataset/41e083a5-862a-4c9e-abe8-3427ac61b83b,odc-by,"CSV,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,,,,,,,,Friedhöfe,http://www.opendata-hro.de/dataset/e9fda07a-424b-4e63-8aa1-2c24313b9002,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
x,,,,,,,,x,,,,,,,,Tagespflegeeinrichtungen,http://www.opendata-hro.de/dataset/e5773f72-970e-4337-a133-6a547dce7fa7,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,,,x,,,,,,,Reisebusterminals,http://www.opendata-hro.de/dataset/141c4422-a265-427f-b8b3-208e216f4008,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,,x,,,x,,x,,,Fair-Trade-Einzelhandel,http://www.opendata-hro.de/dataset/3028514e-0992-48ae-88fd-d0f5c7f83adc,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,x,,,,,x,,,,,,,,,,Denkmale,http://www.opendata-hro.de/dataset/404cee33-a87a-4ca7-a250-6355360d2b61,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,x,,,,x,x,,,,,,,,,,Brunnen,http://www.opendata-hro.de/dataset/c952cb9c-eb1e-4a19-8817-e52f6639b57e,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
